AddSubtract,Epsilon 0.1,,AddSubtractSafe,Epsilon 0.1,,ArcLength,Epsilon 0.1,,DivideByTwo,Epsilon 0.1,,Exp,Epsilon 0.1,,Quadratic,Epsilon 0.1,,QuadraticSafe,Epsilon 0.1,,SampleEvens,Epsilon 0.1
Epsilon 0.01,Average,,Epsilon 0.01,Average,,Epsilon 0.01,Average,,Epsilon 0.01,Average,,Epsilon 0.01,Average,,Epsilon 0.01,Average,,Epsilon 0.01,Average,,Epsilon 0.01,Average
4.77E-06,,,0,,,4.22E-07,,,0.003310572,,,2.16E-06,,,7.77E-06,,,6.11E-13,,,8.19E-06,
4.77E-06,,,0,,,4.16E-07,,,0.003339802,,,2.09E-06,,,7.77E-06,,,6.11E-13,,,8.14E-06,
4.77E-06,,,0,,,4.23E-07,,,0.003330896,,,2.21E-06,,,7.77E-06,,,6.14E-13,,,8.25E-06,
4.77E-06,,,0,,,4.12E-07,,,0.003334444,,,2.16E-06,,,7.77E-06,,,6.13E-13,,,8.16E-06,
4.77E-06,,,0,,,4.20E-07,,,0.003343861,,,2.20E-06,,,7.77E-06,,,6.12E-13,,,8.04E-06,
4.77E-06,,,0,,,4.19E-07,,,0.003360556,,,2.28E-06,,,7.77E-06,,,6.16E-13,,,8.18E-06,
4.77E-06,,,0,,,4.15E-07,,,0.003331741,,,2.25E-06,,,7.77E-06,,,6.11E-13,,,8.33E-06,
5.01E-06,,,0,,,4.26E-07,,,0.003299153,,,2.35E-06,,,7.77E-06,,,6.13E-13,,,8.37E-06,
4.77E-06,,,0,,,4.25E-07,,,0.003337763,,,2.20E-06,,,7.77E-06,,,6.12E-13,,,8.12E-06,
4.77E-06,,,0,,,4.13E-07,,,0.003359011,,,2.12E-06,,,7.77E-06,,,6.16E-13,,,8.38E-06,
4.77E-06,,,0,,,4.24E-07,,,0.003357921,,,2.14E-06,,,7.77E-06,,,6.11E-13,,,8.24E-06,
4.77E-06,,,0,,,4.13E-07,,,0.00337063,,,2.27E-06,,,7.77E-06,,,6.13E-13,,,8.24E-06,
4.77E-06,,,0,,,4.20E-07,,,0.003336368,,,2.28E-06,,,7.77E-06,,,6.14E-13,,,8.35E-06,
4.77E-06,,,0,,,4.23E-07,,,0.003342389,,,2.29E-06,,,7.77E-06,,,6.11E-13,,,8.31E-06,
4.77E-06,,,0,,,4.21E-07,,,0.003352227,,,2.19E-06,,,7.77E-06,,,6.15E-13,,,8.33E-06,
5.01E-06,,,0,,,4.22E-07,,,0.003346965,,,2.24E-06,,,7.77E-06,,,6.13E-13,,,8.26E-06,
4.77E-06,,,0,,,4.21E-07,,,0.003358127,,,2.21E-06,,,7.77E-06,,,6.11E-13,,,8.19E-06,
4.77E-06,,,0,,,4.24E-07,,,0.003333759,,,2.17E-06,,,7.77E-06,,,6.12E-13,,,8.18E-06,
4.77E-06,,,0,,,4.19E-07,,,0.003330509,,,2.32E-06,,,7.77E-06,,,6.14E-13,,,8.39E-06,
5.13E-06,,,0,,,4.14E-07,,,0.003360639,,,2.19E-06,,,7.77E-06,,,6.15E-13,,,8.18E-06,
